"variable"	"index"
"Disease1"	-7.055656
"Disease2"	-7.015232
"Disease3"	-6.605011
"Disease4"	-6.027676
"Disease5"	-5.712165
"Disease6"	-6.839888
"Disease7"	-4.554795
"Disease8"	-5.96455
"Disease9"	-6.936678
"Disease10"	-5.128086
"Disease11"	-6.380301
"Disease12"	-6.991769
"Disease13"	-5.532641
"Disease14"	-6.366689
"Disease15"	-6.511794
"Disease16"	-5.520022
"Disease17"	-4.565931
"Disease18"	-6.007467
"Disease19"	-4.744774
"Disease20"	-5.158953
"Disease21"	-4.866508
"Disease22"	-6.01538
"Disease23"	-5.023294
"Disease24"	-5.80582
"Disease25"	-7.080335
"Disease26"	-6.687712
"Disease27"	-5.462572
"Disease28"	-6.975624
"Disease29"	-5.220037
"Disease30"	-6.845134
"Disease31"	-5.265084
"Disease32"	-5.512726
"Disease33"	-6.832175
"Disease34"	-5.34294
"Control1"	-7.759844
"Control2"	-5.891927
"Control3"	-8.183615
"Control4"	-5.84761
"Control5"	-6.633407
"Control6"	-6.391927
"Control7"	-5.73807
"Control8"	-5.551804
"Control9"	-5.677212
"Control10"	-6.897612
"Control11"	-5.931711
"Control12"	-7.94605
"Control13"	-6.854561
"Control14"	-6.961968
"Control15"	-6.591301
"Control16"	-6.009579
"Control17"	-4.919236
"Control18"	-5.52893
"Control19"	-6.785544
"Control20"	-7.510261
"Control21"	-5.816148
"Control22"	-5.739048
"Control23"	-6.989634
"Control24"	-7.478975
"Control25"	-6.06932
"Control26"	-5.097126
"Control27"	-5.883374
"Control28"	-5.455245
"Control29"	-5.738401
"Control30"	-6.712227
"Control31"	-5.704273
"Control32"	-6.83552
"Control33"	-5.395328
"Control34"	-4.893262
