"var"	"estimate"	"conf.low"	"conf.high"	"p.value"	"Group"
"Shigella"	11.0008443345302	3.7152431615425	18.286445507518	"0.0381912064445395"	"Control"
"Escherichia"	5.0341356818592	1.42468444990933	8.64358691380906	"0.0348192897470409"	"Control"
"Achromobacter"	1.32678163631828	0.46483803472925	2.18872523790731	"0.0370380472744776"	"Control"
"Enterobacter"	1.26743270914311	-0.0709612997055645	2.60582671799179	"0.04441789522903"	"Control"
"Pseudomonas"	0.990454549830545	-1.10248244724171	3.0833915469028	"0.00679929210661068"	"Control"
"Eggerthella"	0.180273168040587	0.0319984128985721	0.328547923182602	"0.04441789522903"	"Control"
"Actinomyces"	0.122151911934787	0.0405137517944308	0.203790072075143	"0.0142313280216191"	"Control"
"Citrobacter"	-0.0573373939352702	-0.859476273003177	0.744801485132637	"0.0485438926088226"	"Disease"
"Mediterranea"	-0.0768235647733532	-0.245188421922513	0.0915412923758069	"0.0123420943908454"	"Disease"
"Tannerella"	-0.206585349769153	-0.332514080251371	-0.0806566192869358	"0.000277090036157094"	"Disease"
"Tidjanibacter"	-0.207253643578875	-0.494595403339504	0.0800881161817533	"0.00330643734719552"	"Disease"
"Prevotellamassilia"	-0.319868565158145	-0.802041526749289	0.162304396432999	"0.00303418096764882"	"Disease"
"Porphyromonas"	-0.612473539357319	-2.02234863114843	0.79740155243379	"0.0337525606890626"	"Disease"
"Prevotella"	-0.825738922375823	-1.6422241616088	-0.00925368314284738	"0.0044004623934673"	"Disease"
"Alistipes"	-2.2169317895325	-3.53608880181473	-0.897774777250278	"0.000146204121458948"	"Disease"
"Parabacteroides"	-2.39658822306253	-4.24232860380574	-0.550847842319321	"0.00267192583449854"	"Disease"
"Bacteroides"	-14.9906878717832	-23.4387580043995	-6.54261773916683	"0.000224673846021025"	"Disease"
