"var"	"estimate"	"conf.low"	"conf.high"	"p.value"	"Group"
"ABC transporters"	0.351091639875531	0.0489989585385821	0.653184321212481	"0.0261699411798132"	"Control"
"Microbial metabolism in diverse environments"	0.288736414394985	0.0962235941600678	0.481249234629902	"0.00215386320269109"	"Control"
"Phosphotransferase system (PTS)"	0.168200980349576	0.0748368883568639	0.261565072342288	"0.000868037020095922"	"Control"
"Degradation of aromatic compounds"	0.0717940689137065	0.0191395765960526	0.12444856123136	"0.0018884170278082"	"Control"
"Propanoate metabolism"	0.0579756784063602	0.0127225418769121	0.103228814935808	"0.0261699411798132"	"Control"
"Sulfur metabolism"	0.057335551579951	0.0166220736160292	0.0980490295438728	"0.00822960334289389"	"Control"
"Cationic antimicrobial peptide (CAMP) resistance"	0.0567476915466634	0.00447904080331986	0.109016342290007	"0.024519115100815"	"Control"
"Phenylalanine metabolism"	0.0520295211881772	0.0102590061302111	0.0938000362461432	"0.0270302698429197"	"Control"
"Ascorbate and aldarate metabolism"	0.0504093295618679	0.0138844545040853	0.0869342046196505	"0.00422538505387108"	"Control"
"Sulfur relay system"	0.0453892352347267	0.0170456188836225	0.073732851585831	"0.00256012699124204"	"Control"
"Tyrosine metabolism"	0.0435668511344809	0.0145058876674845	0.0726278146014773	"0.00215386320269109"	"Control"
"Glutathione metabolism"	0.0340624539865184	0.00142987250857169	0.0666950354644652	"0.040587952509446"	"Control"
"Biofilm formation - Pseudomonas aeruginosa"	0.0338064105475311	0.00740050301018684	0.0602123180848754	"0.0123420943908454"	"Control"
"Fatty acid degradation"	0.0331800958083649	0.00917211913557246	0.0571880724811574	"0.00706633328650595"	"Control"
"Nitrogen metabolism"	0.0269750043950394	0.00210810541261198	0.0518419033774669	"0.0471346611765864"	"Control"
"beta-Alanine metabolism"	0.0238929116217093	0.00567629736325147	0.0421095258801671	"0.0158087444012581"	"Control"
"Phosphonate and phosphinate metabolism"	0.017134012253159	0.00231695458089901	0.0319510699254191	"0.022958078398137"	"Control"
"Nicotinate and nicotinamide metabolism"	0.0129978634662039	-0.00387698128410266	0.0298727082165104	"0.0457595309732071"	"Control"
"Prodigiosin biosynthesis"	-0.00690406081293819	-0.0132190897630517	-0.000589031862824705	"0.0237276187763564"	"Disease"
"Central carbon metabolism in cancer"	-0.0116729091791358	-0.0255137975481698	0.00216797918989816	"0.0261699411798132"	"Disease"
"Glutamatergic synapse"	-0.0121824943524589	-0.0219277578377579	-0.00243723086715983	"0.00854558527858057"	"Disease"
"GABAergic synapse"	-0.0122242820486341	-0.0239115037346742	-0.000537060362594067	"0.0152668782154038"	"Disease"
"Antifolate resistance"	-0.0161779644217765	-0.0305486825329001	-0.0018072463106529	"0.0471346611765864"	"Disease"
"Polyketide sugar unit biosynthesis"	-0.0195847169147839	-0.039430674618838	0.000261240789270326	"0.0471346611765864"	"Disease"
"Necroptosis"	-0.0203046286402449	-0.0344550281449172	-0.00615422913557259	"0.00706633328650595"	"Disease"
"Salmonella infection"	-0.0214714008452047	-0.0340500337252994	-0.00889276796511006	"0.00144436445021609"	"Disease"
"NOD-like receptor signaling pathway"	-0.0226067525605732	-0.0347013082398066	-0.0105121968813397	"0.000535327658474569"	"Disease"
"beta-Lactam resistance"	-0.026798407491866	-0.0454856694436419	-0.00811114554009004	"0.00854558527858057"	"Disease"
"Cyanoamino acid metabolism"	-0.0321408068812258	-0.0677353092080303	0.00345369544557875	"0.0431091514709103"	"Disease"
"Protein export"	-0.0358389836341685	-0.0629188050994013	-0.00875916216893578	"0.0158087444012581"	"Disease"
"Histidine metabolism"	-0.0375218260335045	-0.06584236253227	-0.00920128953473894	"0.018146298935895"	"Disease"
"Carbon fixation pathways in prokaryotes"	-0.0392978606108052	-0.076585446031643	-0.00201027518996743	"0.0279145521562619"	"Disease"
"\"Alanine, aspartate and glutamate metabolism\""	-0.0471929130125509	-0.088903317313789	-0.00548250871131279	"0.0337525606890626"	"Disease"
"Various types of N-glycan biosynthesis"	-0.0501345637382104	-0.0852968362603072	-0.0149722912161136	"0.0163672064385063"	"Disease"
"Glycosphingolipid biosynthesis - ganglio series"	-0.0502665046688403	-0.0855444197089286	-0.0149885896287519	"0.0152668782154038"	"Disease"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	-0.0641896427841219	-0.110314122086421	-0.0180651634818226	"0.0110726078171952"	"Disease"
"Glycosaminoglycan degradation"	-0.0706177885124356	-0.125295262406384	-0.0159403146184871	"0.0152668782154038"	"Disease"
"Lysosome"	-0.0855296655734713	-0.149509538481238	-0.0215497926657043	"0.0110726078171952"	"Disease"
"Sphingolipid metabolism"	-0.0858598599913005	-0.155552055071601	-0.0161676649110004	"0.0123420943908454"	"Disease"
"Amino sugar and nucleotide sugar metabolism"	-0.121988586049045	-0.219814710085873	-0.024162462012217	"0.0106756372231422"	"Disease"
"Other glycan degradation"	-0.159856913054743	-0.279519570933932	-0.0401942551755544	"0.0102911957058282"	"Disease"
